date_time,predicted_total
2025-05-11,10436.540330954704
2025-05-12,10356.30993196156
2025-05-13,10255.965514730533
2025-05-14,10240.0504987526
2025-05-15,10231.67842183036
2025-05-16,10220.363544027781
2025-05-17,10252.911889134486
2025-05-18,10326.385166707723
2025-05-19,10348.6500405233
2025-05-20,10331.55204359176
2025-05-21,10304.537074387941
2025-05-22,10310.090420846731
2025-05-23,10339.955211375742
2025-05-24,10346.878339896242
2025-05-25,10344.614200375763
2025-05-26,10344.24925923832
2025-05-27,10344.192333509958
2025-05-28,10344.401063653446
2025-05-29,10344.707042688979
2025-05-30,10344.951952773461
2025-05-31,10345.053430200744
